[Data],,,
,Trunk Angle,Hip Angle,Knee Angle
,Trunk Flexion / Extension Joint Angle (deg),Hip Flexion / Extension Joint Angle (deg),Knee Flexion / Extension Joint Angle (deg)
Index,Series,Series,Series
334,-13.067721,-5.880231,2.401196
335,-13.097233,-5.882791,2.371459
336,-13.114303,-5.865952,2.367136
337,-13.118854,-5.870259,2.361843
338,-13.129377,-5.85378,2.373209
339,-13.137157,-5.866406,2.32609
340,-13.135489,-5.876441,2.320365
341,-13.135704,-5.875373,2.303847
342,-13.107318,-5.895334,2.302057
343,-13.082991,-5.91566,2.292374
344,-13.082276,-5.910408,2.287213
345,-13.097564,-5.903989,2.270673
346,-13.112469,-5.900493,2.262129
347,-13.080431,-5.968045,2.252537
348,-13.151977,-5.897327,2.245832
349,-13.115906,-5.901671,2.236676
350,-13.10903,-5.901237,2.244181
351,-13.122075,-5.875374,2.250929
352,-13.087845,-5.939105,2.243109
353,-13.118615,-5.923192,2.221802
354,-13.094517,-5.93199,2.242451
355,-13.09914,-5.93316,2.223607
356,-13.097376,-5.949678,2.219134
357,-13.090434,-5.948902,2.201168
358,-13.099335,-5.908706,2.192597
359,-13.098735,-5.88868,2.220424
360,-13.108734,-5.885129,2.22253
361,-13.110353,-5.897726,2.206908
362,-13.106963,-5.897398,2.21307
363,-13.061845,-5.979665,2.202681
364,-13.091813,-5.942871,2.197038
365,-13.067914,-5.970601,2.187895
366,-13.071348,-6.008854,2.169712
367,-13.088964,-5.930923,2.177825
368,-13.023805,-6.028742,2.16596
369,-13.085309,-5.878816,2.197413
370,-13.065852,-5.901809,2.172326
371,-13.080698,-5.91853,2.176057
372,-13.084333,-5.91717,2.16647
373,-13.061292,-5.90134,2.180921
374,-13.08221,-5.907098,2.142422
375,-13.080433,-5.90173,2.145095
376,-13.086571,-5.881433,2.158505
377,-13.079404,-5.848007,2.164736
378,-13.060756,-5.910528,2.161317
379,-13.06528,-5.902807,2.143907
380,-13.030684,-5.947579,2.137327
381,-13.036214,-5.916325,2.137668
382,-13.038492,-5.912384,2.140131
383,-13.013988,-5.957868,2.128435
384,-12.976591,-6.035527,2.134317
385,-12.955551,-6.101562,2.095122
386,-12.982491,-6.080504,2.066882
387,-12.971022,-6.073236,2.082514
388,-12.960595,-6.089108,2.064617
389,-12.957365,-6.095284,2.068711
390,-12.909279,-6.100143,2.065035
391,-12.988667,-6.063943,2.054754
392,-12.897872,-6.089491,2.057746
393,-12.941225,-6.103218,2.045352
394,-12.922483,-6.118761,2.046203
395,-12.940846,-6.095191,2.036452
396,-12.897509,-6.105297,2.012963
397,-12.944398,-6.126278,2.005766
398,-12.97164,-6.08569,2.02147
399,-12.974865,-6.086565,2.014693
400,-12.957993,-6.104749,1.99026
401,-12.976558,-6.058147,1.970883
402,-12.967954,-6.057786,1.966406
403,-12.976714,-6.066004,1.951991
404,-12.953767,-6.081573,1.937631
405,-12.951379,-6.084396,1.934255
406,-12.952509,-6.086407,1.930565
407,-12.948754,-6.091032,1.930891
