X [],R.RA: EMG 1 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.ES: EMG 2 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.IL: EMG 3 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.Gmax: EMG 4 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.RF: EMG 5 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.BF: EMG 6 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.TA&IO: EMG 7 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.MF: EMG 8 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS []
0.112,0.0275946930,0.0599231175,0.0816280524,0.0026271636,0.0190224169,0.3985741835,0.2548488570,0.0429832627
0.113,0.0264372997,0.0597346800,0.0809008537,0.0027849081,0.0191280970,0.3689857070,0.2662035090,0.0418619602
0.114,0.0260718071,0.0597346800,0.0772648603,0.0026759210,0.0192337770,0.3237327430,0.2720911064,0.0403668902
0.115,0.0260718071,0.0594520238,0.0776284596,0.0026128232,0.0195508173,0.2871822720,0.2548488570,0.0370029827
0.116,0.0260718071,0.0596404613,0.0830824498,0.0026013509,0.0195508173,0.2784797789,0.3637694080,0.0347603777
0.117,0.0258890608,0.0616190548,0.0832642495,0.0028135890,0.0174372155,0.2558532969,0.4457752284,0.0336390751
0.118,0.0257672299,0.0638803045,0.0829006501,0.0028680825,0.0150065733,0.2297458176,0.4794186418,0.0368160989
0.119,0.0248839561,0.0616190548,0.0818098521,0.0029254442,0.0145838529,0.2001573411,0.4878294952,0.0390587039
0.120,0.0248230407,0.0612421798,0.0792646567,0.0029541250,0.0147952131,0.2001573411,0.4920349219,0.0383111689
0.121,0.0251276178,0.0622785860,0.0681748767,0.0028652145,0.0141611326,0.1931953466,0.5004457752,0.0377505177
0.122,0.0273814890,0.0639745233,0.0636298850,0.0028652145,0.0145838529,0.1792713577,0.5046512019,0.0371898664
0.123,0.0243357172,0.0638803045,0.0630844859,0.0028680825,0.0131043316,0.1735277122,0.5214729086,0.0381242852
0.124,0.0239702245,0.0594520238,0.0621754876,0.0030688483,0.0135270520,0.1696986153,0.5256783353,0.0383111689
0.125,0.0268941655,0.0509723374,0.0619936879,0.0030688483,0.0139497724,0.1683062164,0.5256783353,0.0403668902
0.126,0.0297267333,0.0461671817,0.0598120919,0.0028394017,0.0144781728,0.1705688646,0.5214729086,0.0405537739
0.127,0.0298181065,0.0445654632,0.0574486961,0.0029254442,0.0161690543,0.1740498618,0.5382946154,0.0401800064
0.128,0.0277165239,0.0441885882,0.0612664892,0.0030975291,0.0168031349,0.2036383383,0.5382946154,0.0396193552
0.129,0.0278383548,0.0440943695,0.0603574909,0.0032696141,0.0169088150,0.2645557899,0.5340891887,0.0396193552
0.130,0.0292698676,0.0415504636,0.0585394942,0.0034990607,0.0176485756,0.3515807208,0.5340891887,0.0383111689
0.131,0.0301835991,0.0423042135,0.0581758948,0.0035564224,0.0182826562,0.3863906932,0.5298837620,0.0349472614
0.132,0.0300313105,0.0440001507,0.0569032971,0.0036711457,0.0181769761,0.3898716904,0.5214729086,0.0384980527
0.133,0.0300617683,0.0440001507,0.0621754876,0.0036137840,0.0181769761,0.4142386711,0.5172674820,0.0392455877
0.134,0.0301226837,0.0442828070,0.0659932807,0.0036424648,0.0180712960,0.5273710813,0.5130620553,0.0429832627
0.135,0.0310668730,0.0474862441,0.0634480853,0.0036424648,0.0176485756,0.6422439901,0.5214729086,0.0487766590
0.136,0.0310668730,0.0493706188,0.0572668965,0.0036137840,0.0178599358,0.6857564555,0.4541860817,0.0534487527
0.137,0.0313714502,0.0471093691,0.0572668965,0.0034703799,0.0179656159,0.6961994472,0.3696570054,0.0545700552
0.138,0.0313714502,0.0430579634,0.0570850968,0.0034130182,0.0179656159,0.7101234362,0.3221356839,0.0513930315
0.139,0.0310668730,0.0429637446,0.0563578981,0.0033556566,0.0188110567,0.7205664279,0.3179302572,0.0493373102
0.140,0.0310668730,0.0430579634,0.0565396978,0.0033269758,0.0195508173,0.7588573975,0.3166686292,0.0495241940
0.141,0.0313714502,0.0423042135,0.0576304958,0.0033556566,0.0198678576,0.7727813864,0.3048934345,0.0495241940
0.142,0.0295135293,0.0418331198,0.0599938915,0.0034130182,0.0191280970,0.7727813864,0.2956414958,0.0495241940
0.143,0.0291480367,0.0431521821,0.0605392905,0.0035277415,0.0201848979,0.7849648767,0.2733527344,0.0485897752
0.144,0.0278383548,0.0451307756,0.0605392905,0.0033556566,0.0197621775,0.7954078684,0.2733527344,0.0485897752
0.145,0.0250057870,0.0458845255,0.0629026863,0.0032122524,0.0203962581,0.7988888657,0.2750349050,0.0469078215
0.146,0.0226300849,0.0459787443,0.0683566764,0.0033269758,0.0201848979,0.8354393367,0.2754554477,0.0467209377
0.147,0.0231478661,0.0460729630,0.0683566764,0.0032982949,0.0198678576,0.8998377855,0.2485407169,0.0469078215
0.148,0.0233001547,0.0462614005,0.0647206830,0.0032982949,0.0200792178,0.9433502510,0.2392887782,0.0495241940
0.149,0.0229955775,0.0467324942,0.0641752840,0.0031262100,0.0203962581,0.9624957358,0.2392887782,0.0536356365
0.150,0.0222036769,0.0457903068,0.0623572873,0.0028250613,0.0199735377,0.9503122455,0.2544283143,0.0571864278
0.151,0.0241834286,0.0425868697,0.0594484925,0.0027562273,0.0195508173,0.9381287551,0.2813430451,0.0573733115
0.152,0.0250362447,0.0499359313,0.0590848932,0.0025497254,0.0200792178,0.9381287551,0.2830252157,0.0575601953
0.153,0.0249753292,0.0578503053,0.0569032971,0.0024665510,0.0203962581,0.9450907496,0.3326492506,0.0654093128
0.154,0.0250362447,0.0626554609,0.0607210902,0.0024005851,0.0208189785,0.8980972869,0.4184399549,0.0676519178
0.155,0.0249144138,0.0635976483,0.0610846896,0.0024206617,0.0212416988,0.8197748491,0.4289535216,0.0683994528
0.156,0.0249753292,0.0622785860,0.0627208866,0.0026558444,0.0215587391,0.7849648767,0.4289535216,0.0676519178
0.157,0.0257367722,0.0622785860,0.0649024827,0.0026501083,0.0213473789,0.7762623836,0.4331589483,0.0663437315
0.158,0.0264677575,0.0634092108,0.0674476781,0.0027275465,0.0209246585,0.7658193919,0.4625969351,0.0661568478
0.159,0.0274424045,0.0676490540,0.0796282560,0.0027418869,0.0201848979,0.7780028823,0.4878294952,0.0661568478
0.160,0.0279601857,0.0695334288,0.0889000393,0.0027275465,0.0193394571,0.7849648767,0.4962403485,0.0659699640
0.161,0.0275337776,0.0692507726,0.0887182396,0.0028049847,0.0189167368,0.7954078684,0.5004457752,0.0659699640
0.162,0.0275642353,0.0706640537,0.0916270343,0.0031262100,0.0196564974,0.8162938519,0.5046512019,0.0669043828
0.163,0.0287825441,0.0722657722,0.0945358291,0.0034130182,0.0188110567,0.8197748491,0.5088566286,0.0693338716
0.164,0.0294221562,0.0717946785,0.0956266271,0.0034990607,0.0184940164,0.8145533532,0.5046512019,0.0698945228
0.165,0.0304577186,0.0715120223,0.0943540294,0.0035564224,0.0175428956,0.8110723560,0.5172674820,0.0702682903
0.166,0.0297267333,0.0716062410,0.0925360327,0.0037858690,0.0181769761,0.7727813864,0.5509108954,0.0704551741
0.167,0.0291175790,0.0728310846,0.0939904301,0.0039292731,0.0173315354,0.6961994472,0.5803488822,0.0704551741
0.168,0.0316760273,0.0752807718,0.0939904301,0.0038432306,0.0170144951,0.6352819956,0.5887597356,0.0687732203
0.169,0.0331989133,0.0786726464,0.0956266271,0.0038719114,0.0163804145,0.6109150149,0.5929651622,0.0657830803
0.170,0.0322851817,0.0799917088,0.0961720261,0.0038719114,0.0165917747,0.5882885329,0.5929651622,0.0626060565
0.171,0.0298181065,0.0794263963,0.0961720261,0.0038432306,0.0163804145,0.5935100288,0.5761434555,0.0620454053
0.172,0.0288130018,0.0750923344,0.0967174251,0.0038719114,0.0156406539,0.5987315246,0.5761434555,0.0592421490
0.173,0.0286911709,0.0711351474,0.0941722297,0.0038719114,0.0156406539,0.5830670370,0.5467054687,0.0504586127
0.174,0.0291784944,0.0677432728,0.0890818389,0.0038719114,0.0173315354,0.5726240453,0.4752132151,0.0441045652
0.175,0.0285388823,0.0648224919,0.0878092412,0.0039292731,0.0187053766,0.5813265384,0.4499806550,0.0368160989
0.176,0.0288434595,0.0654820231,0.0858094449,0.0038432306,0.0205019382,0.5848075357,0.4499806550,0.0315833539
0.177,0.0285997978,0.0668010854,0.0839914481,0.0038719114,0.0216644192,0.5865480343,0.4457752284,0.0313964701
0.178,0.0279906434,0.0670837416,0.0819916518,0.0038432306,0.0222984998,0.5882885329,0.4125523576,0.0312095864
0.179,0.0272596581,0.0641629607,0.0709018718,0.0038432306,0.0222984998,0.5604405550,0.3772267734,0.0313964701
0.180,0.0269855387,0.0649167106,0.0592666928,0.0038432306,0.0225098600,0.4873396131,0.3608256094,0.0325177726
0.181,0.0270464541,0.0683085852,0.0587212938,0.0037858690,0.0233553007,0.4420866490,0.3625077800,0.0332653076
0.182,0.0285084246,0.0679317103,0.0529037044,0.0035564224,0.0227212201,0.4003146822,0.3667132067,0.0319571214
0.183,0.0298181065,0.0656704605,0.0489041116,0.0032122524,0.0224041799,0.3672452084,0.3557790973,0.0284063301
0.184,0.0292698676,0.0655762418,0.0470861149,0.0033269758,0.0222984998,0.3568022167,0.3540969267,0.0272850276
0.185,0.0281733897,0.0659531168,0.0521765057,0.0032982949,0.0222984998,0.3568022167,0.3330697933,0.0261637251
0.186,0.0280211011,0.0665184292,0.0630844859,0.0028967634,0.0216644192,0.3585427153,0.2712500210,0.0265374926
0.187,0.0281429320,0.0658588980,0.0770830606,0.0025956147,0.0214530590,0.3585427153,0.2136356755,0.0304620514
0.188,0.0249144138,0.0632207733,0.0796282560,0.0025841424,0.0214530590,0.3446187264,0.1917674567,0.0325177726
0.189,0.0229651198,0.0585098364,0.0794464564,0.0025525935,0.0216644192,0.2924037678,0.1812538900,0.0327046564
0.190,0.0244270903,0.0567196804,0.0803554547,0.0025439892,0.0227212201,0.2871822720,0.1602267566,0.0330784239
