[Data],,,,
,Trunk Angle,R.Hip Angle,R.Knee Angle,Ankle Angle
,Trunk Angle,R.Hip Angle,R.Knee Angle,Ankle Angle
Index,Series,,,Series
303,6.87747,16.170828,-1.430916,-6.79332
304,6.885583,16.16835,-1.420776,-6.77977
305,6.893303,16.167547,-1.414454,-6.77021
306,6.899753,16.167974,-1.412562,-6.765182
307,6.904884,16.168789,-1.413294,-6.765915
308,6.908287,16.169037,-1.414739,-6.772789
309,6.910995,16.169365,-1.415901,-6.78373
310,6.914042,16.1703,-1.416256,-6.794487
311,6.919035,16.17255,-1.415183,-6.800636
312,6.926519,16.175562,-1.411307,-6.799332
313,6.935939,16.178627,-1.404449,-6.791214
314,6.946374,16.182095,-1.396836,-6.780014
315,6.955962,16.185442,-1.390935,-6.770317
316,6.96368,16.18754,-1.386733,-6.764076
317,6.968782,16.186472,-1.382383,-6.760597
318,6.971467,16.182236,-1.377135,-6.759399
319,6.972335,16.176762,-1.372895,-6.760422
320,6.972756,16.172873,-1.371998,-6.761986
321,6.974362,16.172173,-1.374678,-6.761856
322,6.978481,16.174738,-1.378823,-6.759338
323,6.984583,16.178967,-1.382196,-6.755035
324,6.991681,16.183821,-1.384275,-6.749474
325,6.998886,16.188591,-1.385338,-6.743393
326,7.0061,16.192804,-1.385494,-6.738335
327,7.013625,16.196104,-1.38437,-6.735489
328,7.021636,16.198097,-1.381486,-6.734833
329,7.028903,16.197334,-1.376125,-6.735321
330,7.034688,16.193132,-1.367883,-6.735512
331,7.039454,16.18611,-1.356892,-6.734001
332,7.044387,16.178841,-1.345172,-6.730698
333,7.049962,16.174223,-1.336033,-6.72702
334,7.05573,16.173223,-1.33117,-6.724693
335,7.061298,16.174969,-1.32953,-6.724594
336,7.067115,16.178585,-1.328925,-6.725212
337,7.073809,16.183117,-1.327938,-6.724426
338,7.081852,16.187473,-1.325853,-6.721893
339,7.090932,16.190575,-1.322617,-6.718468
340,7.100355,16.192968,-1.319761,-6.714767
341,7.109707,16.196047,-1.318956,-6.710617
342,7.119315,16.201023,-1.319983,-6.705116
343,7.128008,16.207754,-1.322208,-6.698784
344,7.13257,16.215153,-1.325724,-6.69352
345,7.129368,16.221464,-1.330714,-6.690529
346,7.117469,16.224897,-1.336317,-6.689674
347,7.100919,16.224876,-1.340482,-6.691017
348,7.087395,16.223454,-1.341552,-6.694687
349,7.080561,16.222895,-1.340336,-6.699692
350,7.079357,16.22493,-1.339264,-6.703712
351,7.082367,16.230391,-1.339441,-6.704315
352,7.090338,16.239231,-1.339743,-6.700424
353,7.102788,16.249092,-1.338809,-6.692474
354,7.117462,16.257587,-1.336613,-6.681427
355,7.131354,16.263844,-1.335079,-6.669571
356,7.142387,16.267597,-1.336278,-6.659416
357,7.153837,16.271851,-1.34125,-6.651459
