X [],R.RA: EMG 1 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.ES: EMG 2 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.IL: EMG 3 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.GMax: EMG 4 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.RF: EMG 5 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.BF: EMG 6 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.TA&IO: EMG 7 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.MF: EMG 8 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS []
0.128,9.63496E-06,6.77513E-06,1.88682E-05,3.82243E-06,2.97897E-06,1.28854E-06,4.52712E-05,4.40196E-05
0.129,9.07778E-06,6.95808E-06,1.8172E-05,3.98975E-06,2.97001E-06,1.4489E-06,4.01289E-05,4.37837E-05
0.13,9.12021E-06,7.10444E-06,1.75441E-05,4.29721E-06,2.97355E-06,1.46546E-06,3.82595E-05,4.37006E-05
0.131,9.24813E-06,7.1115E-06,1.64068E-05,4.46263E-06,2.84481E-06,1.44444E-06,3.77543E-05,4.31536E-05
0.132,9.29828E-06,7.11187E-06,1.6307E-05,4.46825E-06,2.47209E-06,1.38257E-06,3.96129E-05,4.22003E-05
0.133,9.08867E-06,7.10909E-06,1.58434E-05,4.47026E-06,2.42791E-06,1.36362E-06,4.10487E-05,4.17317E-05
0.134,8.61773E-06,7.11771E-06,1.54875E-05,4.36722E-06,2.4673E-06,1.36871E-06,3.94444E-05,3.80641E-05
0.135,8.5132E-06,7.17287E-06,1.53863E-05,4.28891E-06,2.50987E-06,1.37742E-06,3.82291E-05,2.45896E-05
0.136,8.68553E-06,7.15414E-06,1.50809E-05,4.24142E-06,2.50951E-06,1.38836E-06,3.7381E-05,2.19982E-05
0.137,8.74716E-06,7.14356E-06,1.50482E-05,4.17243E-06,2.47418E-06,1.44911E-06,3.46001E-05,2.2942E-05
0.138,8.78197E-06,7.05489E-06,1.48448E-05,4.03382E-06,2.4309E-06,1.56264E-06,3.36577E-05,2.28611E-05
0.139,8.7705E-06,7.04514E-06,1.48814E-05,3.972E-06,2.25938E-06,1.59794E-06,3.15444E-05,2.27186E-05
0.14,8.27341E-06,6.99531E-06,1.48734E-05,3.98309E-06,2.24787E-06,1.63138E-06,3.08334E-05,2.26094E-05
0.141,7.21095E-06,6.71505E-06,1.48568E-05,3.9797E-06,2.27644E-06,1.63032E-06,2.90105E-05,2.2361E-05
0.142,5.96051E-06,5.35413E-06,1.47028E-05,3.89233E-06,2.24389E-06,1.71497E-06,2.75355E-05,2.23491E-05
0.143,5.49393E-06,3.69152E-06,1.23244E-05,3.74273E-06,2.1447E-06,1.85281E-06,2.73156E-05,2.14631E-05
0.144,5.77287E-06,3.67664E-06,1.03392E-05,3.65781E-06,1.91906E-06,1.8317E-06,2.72175E-05,2.09639E-05
0.145,6.44256E-06,3.25661E-06,9.75196E-06,3.65551E-06,1.44434E-06,1.94176E-06,2.70404E-05,2.09211E-05
0.146,6.89831E-06,3.08733E-06,8.15229E-06,3.78241E-06,1.34723E-06,1.95103E-06,2.46284E-05,1.98579E-05
0.147,6.87416E-06,3.07815E-06,8.1347E-06,3.81764E-06,1.2808E-06,1.97371E-06,2.33592E-05,1.84907E-05
0.148,6.84914E-06,3.05516E-06,8.09917E-06,3.79896E-06,1.23271E-06,2.03502E-06,2.33683E-05,1.77024E-05
0.149,6.8415E-06,2.64548E-06,8.006E-06,3.57169E-06,1.32885E-06,2.00247E-06,2.33297E-05,1.75794E-05
0.15,6.70843E-06,2.28724E-06,7.41328E-06,3.19541E-06,1.33067E-06,2.23819E-06,2.31255E-05,1.8181E-05
0.151,6.67533E-06,2.26742E-06,7.4729E-06,3.14035E-06,1.35431E-06,2.36042E-06,2.3266E-05,2.42741E-05
0.152,6.87556E-06,2.26533E-06,7.82087E-06,3.26949E-06,1.43411E-06,2.60493E-06,2.00566E-05,3.15717E-05
0.153,7.03107E-06,2.2533E-06,8.09769E-06,3.24616E-06,1.42855E-06,2.72549E-06,1.61533E-05,3.86109E-05
0.154,6.93695E-06,2.22266E-06,8.44906E-06,3.24854E-06,1.36689E-06,2.74656E-06,1.36491E-05,3.9787E-05
0.155,7.00813E-06,2.12913E-06,9.13688E-06,3.22719E-06,1.27222E-06,2.81709E-06,1.21212E-05,3.93377E-05
0.156,7.13702E-06,2.11851E-06,9.60875E-06,3.21197E-06,1.28405E-06,2.89773E-06,1.31241E-05,3.9215E-05
0.157,7.1235E-06,2.23261E-06,9.90216E-06,3.19418E-06,1.32254E-06,2.84602E-06,1.78342E-05,3.93479E-05
0.158,7.16104E-06,2.53806E-06,1.18098E-05,3.26042E-06,1.24244E-06,2.76601E-06,2.30468E-05,4.57747E-05
0.159,7.08827E-06,2.53875E-06,1.21752E-05,3.36455E-06,1.43145E-06,2.75689E-06,2.37993E-05,5.25095E-05
0.16,6.97735E-06,2.70553E-06,1.21768E-05,3.47578E-06,1.43837E-06,3.06955E-06,2.39005E-05,5.38693E-05
0.161,6.91018E-06,2.71068E-06,1.22497E-05,3.7258E-06,1.40687E-06,4.5955E-06,2.40121E-05,5.41204E-05
0.162,6.87196E-06,2.72261E-06,1.25708E-05,3.71518E-06,1.52251E-06,7.00309E-06,2.4338E-05,5.46068E-05
0.163,6.85139E-06,2.71256E-06,1.26799E-05,3.62394E-06,1.57129E-06,8.0175E-06,2.45514E-05,5.44422E-05
0.164,6.62639E-06,2.56893E-06,1.27577E-05,3.60407E-06,1.54354E-06,8.0887E-06,2.53965E-05,5.4391E-05
0.165,6.04563E-06,2.53346E-06,1.2765E-05,3.49196E-06,1.60109E-06,8.80964E-06,2.74204E-05,5.45971E-05
0.166,5.31975E-06,2.53601E-06,1.29343E-05,3.28024E-06,1.60812E-06,9.82184E-06,2.961E-05,5.45444E-05
0.167,5.05689E-06,2.54013E-06,1.30737E-05,3.21049E-06,1.62918E-06,1.08345E-05,3.09977E-05,5.47093E-05
0.168,5.11346E-06,2.5878E-06,1.30818E-05,3.13342E-06,1.68084E-06,1.27512E-05,3.13781E-05,5.48835E-05
0.169,5.15158E-06,2.64292E-06,1.31536E-05,3.03086E-06,1.60815E-06,1.4499E-05,3.14184E-05,5.48532E-05
0.17,5.24091E-06,2.59272E-06,1.3179E-05,2.95721E-06,1.60144E-06,1.48406E-05,3.18182E-05,5.46935E-05
0.171,5.31375E-06,2.59857E-06,1.2818E-05,2.76113E-06,1.65446E-06,1.48205E-05,3.21185E-05,5.21317E-05
0.172,5.11405E-06,2.64819E-06,1.25328E-05,2.51614E-06,1.76695E-06,1.47894E-05,3.25147E-05,4.80262E-05
0.173,4.78805E-06,2.64877E-06,1.23756E-05,2.45581E-06,1.81522E-06,1.47886E-05,3.30913E-05,4.24866E-05
0.174,4.7787E-06,2.61026E-06,1.21512E-05,2.45738E-06,1.83646E-06,1.49464E-05,3.28083E-05,4.15906E-05
0.175,4.60893E-06,2.53167E-06,1.16797E-05,2.45262E-06,1.85094E-06,1.62788E-05,3.29639E-05,4.24052E-05
0.176,4.23937E-06,2.52668E-06,1.15023E-05,2.48727E-06,1.84018E-06,1.74541E-05,3.26087E-05,4.25471E-05
0.177,4.15419E-06,2.41425E-06,1.1508E-05,2.46395E-06,1.8032E-06,1.79534E-05,3.05069E-05,4.17754E-05
0.178,4.01362E-06,1.97234E-06,9.7E-06,2.3804E-06,1.77339E-06,1.80264E-05,2.76864E-05,3.53592E-05
0.179,3.88238E-06,1.91103E-06,9.09358E-06,2.21293E-06,1.65046E-06,1.89323E-05,2.87671E-05,2.68687E-05
0.18,3.97327E-06,1.6603E-06,9.26698E-06,2.0316E-06,1.70159E-06,1.95654E-05,2.88888E-05,2.48542E-05
0.181,4.14319E-06,1.63926E-06,9.32713E-06,1.5305E-06,1.7046E-06,1.93244E-05,2.89567E-05,2.43419E-05
0.182,4.16543E-06,1.62122E-06,8.78953E-06,1.29571E-06,1.61603E-06,1.86522E-05,2.90064E-05,2.35094E-05
0.183,4.24148E-06,1.63723E-06,8.45368E-06,1.27498E-06,1.61716E-06,1.87629E-05,2.89781E-05,2.35587E-05
0.184,4.58082E-06,1.58871E-06,8.14221E-06,1.22592E-06,1.63826E-06,1.99822E-05,2.98991E-05,2.41125E-05
0.185,5.13802E-06,1.50959E-06,8.07028E-06,1.1197E-06,1.63344E-06,2.13808E-05,2.95377E-05,2.44854E-05
0.186,5.41885E-06,1.51548E-06,7.82834E-06,1.11178E-06,1.71076E-06,2.18074E-05,2.82426E-05,2.52149E-05
0.187,5.44438E-06,1.50455E-06,1.04005E-05,1.13063E-06,1.7115E-06,2.14711E-05,2.83301E-05,2.60653E-05
