X [],R ILIOPSOAS: EMG 1->Filter->MAV->RMS [],L ILIOPSOAS: EMG 2->Filter->MAV->RMS [],R GLUTEUS MAXIMUS: EMG 4 (IM)->Filter->MAV->RMS [],L GLUTEUS MAXIMUS: EMG 5->Filter->MAV->RMS [],R RECTUS ABDOMINIS: EMG 6->Filter->MAV->RMS [],L RECTUS ABDOMINIS: EMG 7->Filter->MAV->RMS [],R ERECTOR SPINAE: EMG 8->Filter->MAV->RMS [],L ERECTOR SPINAE: EMG 9->Filter->MAV->RMS [],R RECTUS FEMORIS: EMG 10->Filter->MAV->RMS [],L RECTUS FEMORIS: EMG 11->Filter->MAV->RMS [],R BICEPS FEMORIS: EMG 12->Filter->MAV->RMS [],L BICEPS FEMORIS: EMG 13->Filter->MAV->RMS []
0.44,0.000154285,3.95185E-05,5.70801E-06,0.000141636,3.36272E-05,1.12649E-05,6.31069E-05,5.81022E-06,0.000192536,8.20799E-06,1.42133E-05,0.000115276
0.45,0.000154189,3.83133E-05,5.40273E-06,0.000141975,3.28677E-05,1.12676E-05,7.05786E-05,6.43095E-06,0.00019017,7.81338E-06,1.44915E-05,0.000112904
0.46,0.000145704,3.73714E-05,6.05879E-06,0.000141549,3.28089E-05,1.03224E-05,7.43808E-05,6.61315E-06,0.000190417,7.67025E-06,1.41112E-05,0.000115507
0.47,0.000137544,3.86666E-05,6.56226E-06,0.000141672,3.32548E-05,9.98778E-06,7.66633E-05,6.61052E-06,0.000177679,7.97104E-06,1.35232E-05,0.00011961
0.48,0.000146226,3.9447E-05,6.80388E-06,0.000142187,3.00716E-05,1.06407E-05,7.75282E-05,5.87233E-06,0.000197996,7.92731E-06,1.36191E-05,0.000121267
0.49,0.000153695,3.69677E-05,6.74246E-06,0.000141544,2.70592E-05,1.00283E-05,7.57356E-05,5.42058E-06,0.000222523,7.36479E-06,1.38401E-05,0.000124552
0.5,0.000158523,3.58459E-05,5.96102E-06,0.000141083,2.6766E-05,7.32696E-06,7.53017E-05,6.16629E-06,0.000230106,7.10518E-06,1.31435E-05,0.000117477
0.51,0.000165458,3.63499E-05,6.04086E-06,0.00014176,2.48228E-05,4.81859E-06,7.21143E-05,6.24055E-06,0.000225454,7.3848E-06,1.38857E-05,0.000113475
0.52,0.00016468,3.37472E-05,5.95017E-06,0.000141873,2.60891E-05,6.712E-06,7.00453E-05,5.28186E-06,0.0002064,7.13313E-06,1.45333E-05,0.000117958
0.53,0.000158577,3.48688E-05,5.85068E-06,0.000141933,3.0035E-05,7.15698E-06,7.49515E-05,5.37674E-06,0.00021613,7.41968E-06,1.42472E-05,0.000114764
0.54,0.000144797,3.55223E-05,6.02038E-06,0.000141877,3.12616E-05,7.84825E-06,7.04633E-05,5.83501E-06,0.000233189,7.65837E-06,1.47599E-05,0.000112353
0.55,0.000136462,3.50712E-05,5.25194E-06,0.000141234,3.14523E-05,1.02324E-05,6.30861E-05,5.50073E-06,0.000220399,7.25873E-06,1.46735E-05,0.000119182
0.56,0.000152061,3.81629E-05,5.62288E-06,0.000141111,3.2598E-05,9.97087E-06,6.7772E-05,5.74255E-06,0.000212093,7.43695E-06,1.42875E-05,0.000122724
0.57,0.000164885,3.86559E-05,6.58417E-06,0.000141229,3.30585E-05,1.018E-05,7.35078E-05,5.97843E-06,0.000225975,7.34462E-06,1.44756E-05,0.000124188
0.58,0.000165461,3.84273E-05,6.87138E-06,0.000140558,3.32723E-05,1.10051E-05,7.6429E-05,6.07312E-06,0.000228663,7.54655E-06,1.45353E-05,0.000119339
0.59,0.000157255,3.98928E-05,6.42129E-06,0.000140953,3.26449E-05,1.06926E-05,7.90895E-05,6.46388E-06,0.000216985,7.8576E-06,1.3117E-05,0.000116168
0.6,0.0001509,4.09733E-05,6.37257E-06,0.000141447,3.25788E-05,1.11433E-05,7.69774E-05,5.92406E-06,0.000215701,7.45236E-06,1.25816E-05,0.000118037
0.61,0.000146272,4.00922E-05,6.8331E-06,0.000141575,3.27907E-05,1.11859E-05,7.72629E-05,5.89666E-06,0.000197297,7.29808E-06,1.33842E-05,0.000114047
0.62,0.000139767,3.97095E-05,6.78856E-06,0.00014177,3.27871E-05,1.08885E-05,8.06482E-05,6.11385E-06,0.000203816,7.45445E-06,1.38654E-05,0.000106089
0.63,0.000151793,3.99416E-05,6.39214E-06,0.000141125,3.26636E-05,1.12902E-05,7.90739E-05,5.28003E-06,0.000216636,7.38112E-06,1.48957E-05,0.000108322
0.64,0.000161123,3.99154E-05,6.32011E-06,0.000140774,3.30227E-05,1.09657E-05,7.4904E-05,5.66782E-06,0.000201069,7.51869E-06,1.4323E-05,0.000117543
0.65,0.00015812,4.00779E-05,6.49744E-06,0.000141407,3.403E-05,1.07953E-05,7.6665E-05,5.99192E-06,0.000217784,7.82672E-06,1.18879E-05,0.000115242
0.66,0.000151281,3.95242E-05,6.35275E-06,0.000142,3.37615E-05,1.13308E-05,7.80354E-05,5.64069E-06,0.000233121,7.88232E-06,1.16818E-05,0.0001143
0.67,0.000139017,3.86361E-05,6.24267E-06,0.000141602,3.35536E-05,1.14416E-05,7.55382E-05,5.97846E-06,0.000230862,7.83949E-06,1.30619E-05,0.000113259
0.68,0.000123547,3.83275E-05,6.4661E-06,0.000141698,3.37902E-05,1.08897E-05,7.64364E-05,6.26602E-06,0.000226792,7.50833E-06,1.27658E-05,0.000110049
0.69,0.000135076,3.89982E-05,6.44579E-06,0.000141933,3.35071E-05,1.07226E-05,7.84669E-05,6.17062E-06,0.00022146,7.57085E-06,1.27602E-05,0.000116024
0.7,0.000157739,3.99612E-05,6.26406E-06,0.000141151,3.34536E-05,1.08291E-05,7.5627E-05,6.1268E-06,0.000204828,7.57291E-06,1.38124E-05,0.00011384
0.71,0.000161021,4.06637E-05,6.8188E-06,0.00014078,3.39661E-05,1.0682E-05,7.57908E-05,6.43867E-06,0.000206486,7.19387E-06,1.4991E-05,0.000110243
0.72,0.000159949,4.05501E-05,6.98708E-06,0.000141646,3.36386E-05,1.07553E-05,7.81139E-05,6.35185E-06,0.000222999,7.37237E-06,1.46769E-05,0.000118678
0.73,0.000156435,3.97507E-05,6.72597E-06,0.000141223,3.33508E-05,1.0485E-05,7.83969E-05,6.2679E-06,0.00022093,7.66297E-06,1.42894E-05,0.00012257
0.74,0.000157355,3.9645E-05,6.72781E-06,0.000141063,3.36259E-05,1.0945E-05,8.05195E-05,6.1019E-06,0.00021251,7.8342E-06,1.30331E-05,0.000121883
0.75,0.000160792,4.03331E-05,7.05483E-06,0.000141807,3.37428E-05,1.1818E-05,7.90005E-05,5.42147E-06,0.000220165,7.90513E-06,1.22538E-05,0.000120836
0.76,0.00015435,3.92424E-05,6.63358E-06,0.000141189,3.32471E-05,1.0911E-05,7.70839E-05,5.99274E-06,0.000214172,7.67427E-06,1.27055E-05,0.000118026
0.77,0.000150939,3.89661E-05,5.86737E-06,0.000140851,3.1922E-05,1.03718E-05,7.57575E-05,6.10395E-06,0.000197252,7.42861E-06,1.23185E-05,0.000115821
0.78,0.000159225,4.00145E-05,6.12479E-06,0.000141249,3.20235E-05,1.13691E-05,7.01646E-05,5.51736E-06,0.000201778,7.03175E-06,1.37373E-05,0.000114618
0.79,0.000153309,4.03123E-05,5.88635E-06,0.000141487,3.26209E-05,1.11837E-05,6.88684E-05,5.60439E-06,0.000205809,6.7452E-06,1.45955E-05,0.00011456
0.8,0.000130644,4.03787E-05,5.53415E-06,0.00014162,3.31278E-05,1.0409E-05,7.13629E-05,5.631E-06,0.000208518,7.31807E-06,1.37804E-05,0.000115988
0.81,0.000114332,4.00505E-05,6.48262E-06,0.000141105,3.38727E-05,1.06448E-05,7.26036E-05,5.51949E-06,0.000221753,7.47914E-06,1.37108E-05,0.000117123
0.82,0.000129832,4.04227E-05,6.56771E-06,0.000140421,3.36658E-05,1.11372E-05,7.5483E-05,5.27241E-06,0.000234523,7.48797E-06,1.45557E-05,0.000119532
0.83,0.000154424,4.05999E-05,6.34725E-06,0.000140887,3.38852E-05,1.08121E-05,7.53553E-05,5.42202E-06,0.000220044,7.99705E-06,1.42249E-05,0.000119669
0.84,0.000153816,4.01253E-05,6.32675E-06,0.000141259,3.36951E-05,1.07121E-05,7.33556E-05,5.77658E-06,0.000208795,7.57404E-06,1.36363E-05,0.000117648
0.85,0.000136894,4.01E-05,5.88199E-06,0.000140827,3.33894E-05,1.10471E-05,7.53509E-05,6.03239E-06,0.000222481,6.90365E-06,1.33069E-05,0.000118267
0.86,0.000137627,4.03687E-05,5.8E-06,0.000141187,3.38245E-05,1.13143E-05,7.86369E-05,5.86398E-06,0.000228955,7.33434E-06,1.35965E-05,0.000119937
0.87,0.000146702,4.09241E-05,6.16411E-06,0.000141789,3.37344E-05,1.10732E-05,7.92963E-05,5.59267E-06,0.000226592,7.37937E-06,1.41533E-05,0.000113834
0.88,0.000142807,3.9685E-05,5.87284E-06,0.000141491,3.29111E-05,1.06771E-05,7.61506E-05,5.69838E-06,0.000217971,6.95376E-06,1.3785E-05,0.000109377
0.89,0.000150036,3.65705E-05,5.53542E-06,0.00014116,3.23168E-05,1.09296E-05,7.45686E-05,5.94908E-06,0.000220133,6.95125E-06,1.36884E-05,0.000109318
0.9,0.000153619,3.5116E-05,5.45568E-06,0.00014123,3.31495E-05,1.08526E-05,7.62329E-05,5.54291E-06,0.000225361,7.63683E-06,1.37858E-05,0.000111905
0.91,0.000147101,3.77776E-05,6.09654E-06,0.000141461,3.40202E-05,1.09148E-05,7.68267E-05,5.32835E-06,0.000217035,7.19529E-06,1.36445E-05,0.00011432
0.92,0.000140518,4.0056E-05,6.84028E-06,0.000141388,3.38495E-05,1.06277E-05,7.58103E-05,5.78612E-06,0.000228043,6.42789E-06,1.3816E-05,0.000114409
0.93,0.000135254,4.02505E-05,6.94984E-06,0.000141779,3.29551E-05,1.09722E-05,7.67158E-05,5.36591E-06,0.000239553,7.38243E-06,1.39662E-05,0.00011524
0.94,0.00013977,4.01224E-05,6.55634E-06,0.000141824,3.25491E-05,1.15972E-05,7.47892E-05,5.89222E-06,0.000221965,8.10215E-06,1.3243E-05,0.000108239
0.95,0.00013631,4.01056E-05,5.82953E-06,0.000141131,3.27816E-05,1.07185E-05,7.21048E-05,6.21347E-06,0.000208604,8.04115E-06,1.1989E-05,0.000111564
