Time (s),RA/ES,IL/GMax,RF/BF,TAIO/MF
2.6500,1.865542,8.070612,0.887690,17.538665
2.6600,1.852691,7.915286,0.812743,14.320585
2.6700,1.787632,7.782893,0.576058,12.154992
2.6800,1.916934,7.967725,0.541911,11.985261
2.6900,1.903982,8.710321,0.539592,11.623168
2.7000,1.861770,9.016254,0.519081,10.561502
2.7100,1.907447,8.940669,0.406899,9.907609
2.7200,2.027261,9.172952,0.369729,9.646265
2.7300,2.237742,8.505746,0.367431,9.723994
2.7400,2.373515,6.904564,0.368850,10.129998
2.7500,2.370677,7.743635,0.439230,10.568654
2.7600,2.373515,8.623928,0.423772,12.548708
2.7700,3.073613,8.542778,0.444960,19.905389
2.7800,3.130565,8.505297,0.437952,21.184169
2.7900,3.212865,7.123704,0.433560,20.924030
2.8000,3.216717,7.796607,0.404913,20.487110
2.8100,3.288994,7.310233,0.431579,18.432508
2.8200,3.353985,7.307283,0.450186,18.303806
2.8300,3.631544,7.832278,0.454406,16.783286
2.8400,3.635329,8.480051,0.411260,15.330915
2.8500,3.792060,7.787494,0.384604,13.481797
2.8600,3.250923,8.775548,0.372887,14.156503
2.8700,2.730181,9.085920,0.394536,13.976550
2.8800,2.106099,8.714059,0.404397,11.004715
2.8900,1.812248,9.184659,0.343892,11.572579
2.9000,1.770071,9.167037,0.278621,11.808772
2.9100,1.881016,9.287559,0.270111,11.547753
2.9200,1.845715,9.319413,0.254471,11.491081
2.9300,1.659127,8.554763,0.252604,11.875592
2.9400,1.770071,8.142692,0.316360,12.172431
2.9500,1.611413,7.556959,0.372269,12.818971
2.9600,1.959686,6.457918,0.413747,12.984084
2.9700,2.266105,6.423026,0.446957,12.973433
2.9800,2.955510,6.824878,0.447917,17.727902
2.9900,3.540077,6.775581,0.484246,20.868050
3.0000,3.573448,6.704928,0.639944,21.228711
3.0100,3.850710,6.923991,0.737605,26.963497
3.0200,4.221375,7.735173,0.888941,29.190225
3.0300,4.119265,7.820570,0.948782,28.021265
3.0400,4.052917,7.134360,0.919868,26.841199
3.0500,4.024418,7.439383,0.826597,25.785151
3.0600,3.812556,7.339100,0.870071,26.687403
3.0700,3.480209,6.703700,0.799672,27.654636
3.0800,3.473500,6.387243,1.012918,26.618368
3.0900,4.329297,6.452759,2.033097,22.196733
3.1000,5.219844,6.022254,2.000207,17.216388
3.1100,5.970004,5.961969,1.803758,12.171773
3.1200,5.775238,5.728238,1.799063,8.794354
3.1300,5.760388,6.558350,1.620669,8.436496
3.1400,5.075530,7.239995,1.640642,9.304384
3.1500,4.872828,7.123704,1.712109,10.747730
3.1600,4.897542,7.126291,1.645992,10.627644
3.1700,5.024141,7.913708,1.529079,10.627644
3.1800,5.034365,8.009033,1.392402,10.574484
3.1900,4.604633,7.668542,1.119348,10.797502
3.2000,3.980925,7.872366,0.700046,11.430304
3.2100,2.545727,8.880797,0.479715,13.371192
3.2200,2.310642,8.128940,0.459483,16.554506
3.2300,2.114455,6.928002,0.476415,16.649374
3.2400,2.281391,7.283251,0.462847,19.448629
3.2500,2.208267,7.608596,0.451593,15.286271
3.2600,1.737652,7.230780,0.405735,13.238563
3.2700,1.494550,6.949419,0.409173,11.584870
3.2800,1.413811,7.226991,0.432237,11.925025
3.2900,1.370815,7.869609,0.433119,12.112640
3.3000,1.400832,8.014096,0.450651,11.733702
3.3100,1.593240,6.708296,0.554669,10.641741
3.3200,1.677529,6.354483,0.602332,11.575665
3.3300,1.744673,6.620326,0.595449,13.217079
3.3400,1.735881,6.091229,0.600348,14.414445
3.3500,1.964107,6.010538,0.599333,16.415628
3.3600,2.543921,5.777421,0.710223,19.115241
3.3700,3.244414,5.813824,0.886752,21.398350
3.3800,3.132766,5.194611,0.885139,19.097656
3.3900,3.014153,4.745543,0.983536,19.217245
3.4000,2.915394,4.762136,1.448630,21.515017
3.4100,2.787822,5.563408,1.763228,26.613201
3.4200,2.834092,5.960846,1.502376,26.360801
3.4300,2.891066,6.488706,1.304201,24.674936
3.4400,2.813483,7.649254,0.843023,23.024026
3.4500,2.188473,7.242146,0.865637,19.751505
3.4600,1.993891,7.373399,0.859730,19.489060
3.4700,2.421673,7.255392,0.755909,18.763495
3.4800,3.025907,8.025875,0.752476,25.414409
3.4900,3.373821,8.234914,0.757449,30.262965
3.5000,3.860101,9.386265,0.809488,33.752643
3.5100,4.229537,9.306177,0.955512,31.139955
3.5200,3.811944,8.980143,1.088906,28.097088
3.5300,3.622172,8.281822,1.141115,25.532437
3.5400,3.688820,6.724850,1.709880,23.991560
3.5500,3.806154,6.671101,1.854932,25.401272
3.5600,3.805137,6.780774,1.945785,26.829250
3.5700,3.595609,6.780675,1.777638,29.667676
3.5800,3.413761,6.667082,2.154672,28.253996
3.5900,3.257959,6.475400,2.124198,27.228696
3.6000,2.750160,5.207335,2.032657,22.827668
3.6100,2.389668,4.986848,1.990335,22.500798
3.6200,2.487762,4.870040,1.649669,23.519414
3.6300,2.631586,4.843261,1.664703,25.103813
3.6400,2.239858,5.172776,1.922760,27.631524
3.6500,2.028135,5.559158,1.967917,25.240170
3.6600,2.367346,5.785858,2.056844,19.565000
3.6700,2.356657,5.831847,2.434598,15.904053
3.6800,2.299501,5.402912,2.004269,14.021732
3.6900,4.100880,6.155759,2.094168,13.279485
3.7000,5.628269,7.063948,2.195037,10.830090
3.7100,5.411079,7.247362,2.235616,9.150411
3.7200,5.559392,8.027750,2.519375,9.634134
3.7300,5.481200,9.201230,2.575758,10.579245
3.7400,5.759725,9.253735,1.865496,10.310529
3.7500,5.918040,9.306313,1.748760,9.514401
3.7600,5.432079,8.780956,1.713233,8.953855
3.7700,5.467813,8.941033,1.640353,9.698819
3.7800,5.491937,9.024365,1.706118,10.195609
3.7900,4.731046,8.997079,1.538357,10.133652
