Time (s),Gait Cycle (%),RA/ES,IL/GMax,RF/BF,TAIO/MF,RA/GMax,RA/MF,IL/ES,IL/BF,IL/MF,RF/GMax,TAIO/ES,TAIO/GMax
10.8700,47.46,0.523843,0.475915,0.659070,0.562607,0.550446,0.536714,0.547374,0.838323,0.510389,0.722498,0.605860,0.522495
10.8800,47.93,0.601759,0.473496,0.821426,0.587905,0.642589,0.614658,0.564581,0.854305,0.532363,0.672606,0.625672,0.519341
10.8900,48.39,0.642692,0.469360,0.995204,0.552312,0.690437,0.657225,0.565566,0.849942,0.532485,0.637118,0.587443,0.485463
10.9000,48.86,0.671280,0.469853,1.081508,0.548752,0.721841,0.686646,0.565786,0.855128,0.532858,0.626466,0.583319,0.482762
10.9100,49.33,0.760302,0.469291,1.143498,0.516008,0.733274,0.773131,0.566782,0.862710,0.543170,0.619571,0.537656,0.447975
10.9200,49.79,0.810561,0.468485,1.184094,0.519070,0.719473,0.822715,0.573190,0.861544,0.552269,0.615863,0.537900,0.443224
10.9300,50.26,0.828264,0.458071,1.181786,0.518609,0.714995,0.842144,0.563362,0.909124,0.540945,0.611860,0.539459,0.441205
10.9400,50.72,0.864303,0.457401,1.193052,0.519285,0.708505,0.873828,0.566223,0.918001,0.540531,0.612559,0.543257,0.441395
10.9500,51.19,0.913601,0.457850,1.224239,0.531290,0.707673,0.889440,0.563513,0.916881,0.548898,0.617341,0.545107,0.444933
10.9600,51.65,0.909680,0.454808,1.260243,0.529590,0.699984,0.880038,0.559544,0.950917,0.545129,0.612882,0.543298,0.443432
10.9700,52.12,0.902130,0.457856,1.260100,0.520792,0.729782,0.873879,0.539270,0.940620,0.526238,0.640749,0.533586,0.453596
10.9800,52.58,0.857131,0.483763,1.250645,0.516456,0.752732,0.830768,0.535384,0.961382,0.522515,0.690092,0.529059,0.478476
10.9900,53.05,0.849319,0.502682,1.245095,0.517194,0.790467,0.827191,0.531546,0.963398,0.520760,0.730991,0.527848,0.499333
11.0000,53.51,0.831997,0.510557,1.232169,0.515670,0.791200,0.813342,0.531047,0.984098,0.521712,0.746460,0.524812,0.504742
11.0100,53.98,0.821449,0.508930,1.219692,0.514977,0.783859,0.803121,0.527940,0.997004,0.518701,0.749150,0.524097,0.505330
11.0200,54.44,0.813809,0.508378,1.207848,0.512991,0.777935,0.795717,0.526676,1.019206,0.517476,0.750321,0.522047,0.504033
11.0300,54.91,0.801193,0.505603,1.193593,0.510540,0.766092,0.783493,0.523720,1.042537,0.514612,0.750321,0.519518,0.501659
11.0400,55.37,0.787043,0.504564,1.189006,0.510766,0.752807,0.772426,0.522613,1.049739,0.514933,0.750321,0.518333,0.500546
11.0500,55.84,0.782982,0.505813,1.187609,0.510578,0.749625,0.766707,0.523573,1.057905,0.514933,0.752313,0.519085,0.501596
11.0600,56.31,0.780218,0.507920,1.187356,0.509122,0.751130,0.762278,0.523458,1.059690,0.513894,0.757828,0.518526,0.503248
